full_address,lon,lat,school_code,district_name,school_name,grade,spg_score,crime_per_c_num,szip_ad,school_type_txt,calendar_only_txt,student_num,class_teach_num,calc_student_teach_ratio,state+ppe,federal_ppe,local_ppe,total_ppe
"1121 Commons Drive North, Jacksonville, NC, 28546",-77.393278,34.7936,670323,Onslow County Schools,Jacksonville Commons Elem,C,59,0,28546,Regular School,Traditional Calendar,677,44,15.38636364,5247.34,697.11,2055.04,7999.49
"1121 Third Street Extension, Robersonville, NC, 27871",-77.243127,35.823213,580316,Martin County Schools,East End Elementary,F,37,1.03,27871,Regular School,Traditional Calendar,290,22,13.18181818,7340.74,1350.85,2136.58,10828.17
"1125 New Grady Brown Sch Rd, Hillsborough, NC, 27278",-79.1264455,36.0535062,680310,Orange County Schools,Cedar Ridge High,B,75,0.63,27278,Regular School,Traditional Calendar,1120,72,15.55555556,5645.51,668.18,4025.31,10339
"1127 Greenwood Rd, Sanford, NC, 27330",-79.1940397,35.3887317,530320,Lee County Schools,Greenwood Elementary,C,63,0.29,27330,Regular School,Traditional Calendar,690,43,16.04651163,5638.31,997.68,2040.07,8676.06
"1128 Cane River School Road, Burnsville, NC, 28714",-82.3777203,35.912279,995316,Yancey County Schools,Cane River Middle,C,67,0.4,28714,Regular School,Traditional Calendar,249,22,11.31818182,7230.17,1297.05,2203,10730.22
"1130 Marlborough Rd, Raleigh, NC, 27610",-78.6032102,35.795338,920536,Wake County Schools,Powell Elementary,C,58,0.51,27610,Magnet School,Traditional Calendar,396,37,10.7027027,5349.09,659.07,2528.16,8536.32
"1131 Friedberg Church Road, Winston-Salem, NC, 27127",-80.276949,35.992418,290330,Davidson County Schools,Friedberg Elementary,B,74,0,27127,Regular School,Traditional Calendar,445,25,17.8,5611.71,782.5,1626.28,8020.49
"1133 Ratchford Road, Dallas, NC, 28034",-81.1774991,35.334336,360470,Gaston County Schools,North Gaston High,C,63,1.67,28034,Regular School,Traditional Calendar,1079,66,16.34848485,5402.62,971.33,1724.46,8098.41
"11340 Old Wire Road, Laurel Hill, NC, 28351",-79.5203159,34.82265,830328,Scotland County Schools,Laurel Hill Elementary,B,76,0,28351,Regular School,Traditional Calendar,527,40,13.175,6787.66,1655.91,1904.09,10347.66
"11344 Deep Branch Road, Pembroke, NC, 28372",-79.2520085,34.6958638,780420,Robeson County Schools,Purnell Swett High,C,58,2.21,28372,Regular School,Traditional Calendar,1765,94,18.77659574,6490.65,1703.87,748.37,8942.89
"1135 New Hope Road, Goldsboro, NC, 27534",-77.8817875,35.3770892,960330,Wayne County Public Schools,Eastern Wayne High,C,61,0.59,27534,Regular School,Traditional Calendar,1012,69,14.66666667,6171.58,1200.4,1188.1,8560.08
"114 Link St, Rockwell, NC, 28138",-80.415781,35.5561409,800392,Rowan-Salisbury Schools,Rockwell Elementary,C,63,0.38,28138,Regular School,Traditional Calendar,522,31,16.83870968,5682.81,1066.11,1829.49,8578.41
"114 Scorpion Drive, Leland, NC, 28451",-78.023383,34.240696,100326,Brunswick County Schools,North Brunswick High,C,67,0.87,28451,Regular School,Traditional Calendar,1033,69,14.97101449,5565.48,1091,2667.56,9324.04
"1140 Kendall Mill Road, Thomasville, NC, 27360",-80.1045539,35.848914,290322,Davidson County Schools,E Lawson Brown Middle,C,67,1.15,27360,Regular School,Traditional Calendar,696,46,15.13043478,5611.71,782.5,1626.28,8020.49
"1140 Old NC 18 South, Morganton, NC, 28655",-81.660527,35.704844,120360,Burke County Schools,Mull Elementary,C,66,0,28655,Regular School,Traditional Calendar,283,21,13.47619048,6119.8,982.92,1409.5,8512.22
"11425 Ardrey Kell Rd, Charlotte, NC, 28277",-80.843458,35.0228279,600383,Charlotte-Mecklenburg Schools,Elon Park Elementary,A,89,0.09,28277,Regular School,Traditional Calendar,1121,62,18.08064516,5227.1,942.34,2352.27,8521.71
